id,Coordx,Coordy,cantidad
1,-103.3549309,20.67133,1358
2,-103.3215357,20.6966319,0
3,-103.2939616,20.5321298,0
4,-103.3806142,20.6467019,0
5,-103.3784544,20.6631082,2
6,-103.2713246,20.6591569,0
7,-103.3164157,20.692515,0
8,-103.3888913,20.6268888,0
9,-103.4563948,20.7135301,0
10,-103.4584275,20.6479489,0
11,-103.3341105,20.6038375,0
12,-103.4583206,20.708548,0
13,-103.4524107,20.6931241,0
14,-103.4752174,20.5337176,0
15,-103.3573826,20.6594091,277
16,-103.290369,20.6628693,0
17,-103.3719344,20.6217024,0
18,-103.3539881,20.6435303,0
19,-103.3038164,20.6699891,0
20,-103.3809342,20.6467496,0
21,-103.3704142,20.6587118,0
22,-103.4511778,20.6507871,0
23,-103.3640727,20.6547096,0
24,-103.3541928,20.583591,0
25,-103.2864152,20.7067316,0
26,-103.4945742,20.485273,0
27,-103.3406612,20.6092836,0
28,-103.3435538,20.6913889,3
29,-103.4537491,20.6178396,0
30,-103.3690286,20.6359011,0
31,-103.3043907,20.6258225,0
32,-103.2519682,20.663555,0
33,-103.3543392,20.7142353,0
34,-103.2851321,20.6317075,0
35,-103.4051591,20.7316189,0
37,-103.3258091,20.653198,363
38,-103.3183616,20.6683833,0
39,-103.296521,20.6885232,0
40,-103.3066822,20.713581,0
41,-103.4709054,20.5474196,0
42,-103.2810756,20.5620818,0
43,-103.2767944,20.6404572,0
44,-103.240285,20.6010889,0
45,-103.2745567,20.489172,0
46,-103.349033,20.722337,0
47,-103.3001002,20.565386,0
48,-103.2823372,20.622753,0
49,-103.3616244,20.689758,309
50,"-103.360278,",20.7025379,349
51,-103.2415917,20.600637,0
52,-103.4168379,20.4549552,0
53,-103.4688792,20.6364126,0
54,-103.3725072,20.735805,0
55,-103.3564262,20.7322654,0
56,-103.3519885,20.6485584,0
57,-103.3385603,20.7225416,0
58,-103.4047787,20.7318124,0
59,-103.4046784,20.7316464,0
60,-103.2768717,20.6641023,0
61,-103.3004492,20.536998,0
62,-103.353747,20.6801167,1548
63,-103.3318129,20.6940059,0
65,-103.4407851,20.4700547,0
66,-103.3189154,20.7208651,0
67,-103.3110491,20.6661698,0
68,-103.3916502,20.517816,0
69,-103.4151702,20.6244739,0
70,-103.3694496,20.6541271,0
71,-103.3049544,20.6258759,0
72,-103.39527,20.6215412,0
73,-103.4423092,20.6431845,0
74,-103.2348561,20.6524649,0
75,-103.2166791,20.577278,0
76,"-103.310104,",20.6466723,89
77,-103.3322499,20.5849772,0
78,-103.4311958,20.7588489,0
79,-103.4723762,20.636272,0
80,-103.2788742,20.591074,0
81,-103.3169647,20.6391999,87
82,-103.2879092,20.592777,0
84,-103.4565117,20.6511645,0
85,-103.4323818,20.5990039,0
86,-103.3709368,20.6737255,1472
87,-103.2871127,20.6447868,0
88,-103.3691127,20.560344,0
89,-103.3552147,20.6726477,2253
90,-103.3156137,20.6906242,0
91,-103.3705316,20.6297745,0
92,-103.2368606,20.6526931,0
93,-103.2451482,20.614649,0
94,-103.4029186,20.6281287,0
95,-103.2955512,20.562935,0
96,-103.5060724,20.7998417,0
97,-103.3787218,20.7380937,343
98,-103.3737734,20.6735678,1083
99,-103.3339741,20.6676763,301
100,-103.3571706,20.6568626,0
101,-103.4071491,20.530454,0
102,-103.3439448,20.7399079,0
104,"-103.311924,",20.6807865,0
105,-103.4537768,20.7310821,0
106,-103.3348022,20.6994503,0
107,-103.3356087,20.6794587,4
108,-103.2434868,20.6267774,0
109,-103.2347405,20.6689961,0
110,-103.2658891,20.6478594,0
111,"-103.303624,",20.6429463,6
112,-103.3005748,20.6967754,0
113,-103.3259251,20.6352592,0
114,-103.4978657,20.483554,0
115,-103.2914086,20.6847856,0
116,-103.3341595,20.6663525,388
117,-103.3890657,20.7093248,0
118,"-103.332438,",20.6509746,2
119,"-103.350133,",20.6286346,0
120,-103.3215787,20.7375387,0
121,-103.3370365,20.7255023,0
122,-103.3579823,20.5769669,0
123,-103.3188846,20.614507,0
124,-103.2848657,20.6446146,0
125,-103.3405753,20.6092875,0
126,-103.3654329,20.6971178,212
127,-103.4370352,20.6313189,0
128,-103.2879092,20.592777,0
130,-103.2217673,20.6523825,0
131,-103.3709199,20.7276695,0
132,-103.4606009,20.6298149,0
133,-103.3519974,20.7311306,0
134,-103.3938532,20.697506,0
135,-103.3405585,20.6793828,494
136,"-103.454162,",20.6329034,0
137,-103.3525102,20.6414154,0
138,-103.4458201,20.6301211,0
139,-103.3023406,20.6754402,0
140,-103.4597272,20.693259,0
141,-103.3440653,20.6171187,0
142,-103.5020212,20.480781,0
143,-103.2655893,20.5887182,0
144,-103.3315242,20.609216,0
145,-103.3908396,20.6664209,315
146,-103.3753657,20.7120534,179
147,"-103.441111,",20.7587144,0
148,-103.2678632,20.475415,0
149,"-103.355071,",20.6965182,438
150,-103.4382889,20.5969362,0
151,-103.3372585,20.6051757,0
153,-103.3874054,20.74016953,9
154,-103.4506836,20.64909363,0
155,-103.2976608,20.66650772,0
156,-103.3486085,20.7044818,56
157,-103.2612381,20.64753342,0
158,-103.3186646,20.68159103,0
159,"-103.369443,",20.6839064,421
160,-103.3678,20.6596,0
161,-103.3495865,20.67280388,800
162,-103.3835068,20.58774757,0
163,-103.323494,20.70370674,0
164,-103.4069672,20.62952423,0
165,-103.3330307,20.66524506,417
166,-103.3098602,20.69374847,0
167,-103.2895508,20.62277222,0
169,-103.4092636,20.64131546,0
170,-103.2776489,20.65996361,0
171,-103.3652344,20.56864738,0
172,-103.4608459,20.6276989,0
173,-103.3068771,20.66896629,0
174,-103.4228973,20.67248344,0
175,-103.2956153,20.6739449,0
176,-103.4606734,20.6271458,0
177,-103.455246,20.62933159,0
178,-103.3045502,20.65958405,0
179,-103.3596115,20.70246506,351
180,-103.3671112,20.68489265,593
181,-103.2481308,20.61882591,0
182,-103.3335648,20.67231369,15
183,-103.3551712,20.63059998,0
184,-103.3637293,20.641565,0
185,-103.3472404,20.6736056,1477
186,-103.3538208,20.71927261,0
187,-103.3455963,20.7185955,0
188,-103.3453754,20.7180709,0
189,-103.2482681,20.6793499,0
190,-103.4330292,20.64136314,0
191,-103.4282501,20.5554006,0
192,-103.5709142,20.728712,0
193,-103.3411927,20.72685653,0
194,-103.4476471,20.65880966,0
195,-103.3325653,20.70240402,0
196,-103.4502945,20.66607857,0
197,-103.3510361,20.65722656,174
198,-103.4552536,20.67473602,0
199,-103.4020532,20.7280023,0
200,-103.3240051,20.68318367,1
201,-103.4009552,20.72800255,0
202,-103.3506775,20.67277908,731
203,-103.4312592,20.66270447,0
204,-103.3345337,20.68212128,13
205,-103.2318268,20.67612076,0
206,-103.4401398,20.71002579,0
207,-103.28508,20.59001541,0
208,-103.3246307,20.66426086,4
209,-103.3034515,20.67591286,0
210,-103.3642807,20.6716938,947
211,-103.246964,20.622379,0
212,-103.3870952,20.629382,0
213,-103.3055209,20.6647719,0
214,-103.3332825,20.69872475,0
215,-103.4152222,20.61063766,0
216,-103.4003983,20.64975357,0
217,-103.3593521,20.67811584,710
218,-103.3524475,20.62159348,0
219,-103.3636246,20.68687439,257
220,-103.4316483,20.68733978,0
221,-103.3296814,20.59473038,0
222,-103.3322449,20.58480263,0
223,-103.3669128,20.65041733,0
224,-103.2946091,20.62883949,0
225,-103.4269791,20.6882019,0
226,-103.3462524,20.67051315,1156
227,-103.3377228,20.60628128,0
228,-103.437355,20.62371635,0
229,-103.3036922,20.645351,49
230,-103.3602142,20.62887383,0
231,-103.3347092,20.5988884,0
232,-103.2694702,20.69321442,0
233,-103.2810059,20.66423607,0
234,-103.324501,20.72299576,0
235,-103.3771744,20.62438393,0
236,-103.3211517,20.64693451,176
237,-103.4591241,20.7130126,0
238,-103.4474313,20.74449826,0
239,-103.4478144,20.7437509,0
240,-103.3679256,20.6322395,0
241,-103.4194641,20.74332237,0
242,-103.3091125,20.67419624,0
243,-103.4292984,20.63197136,0
