Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
0,0.352758426,2,Wednesday,F,40-49,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.25,2,Sunday,M,30-39,0:00 a 01:59,3,50km/h,Yes,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
277,0.29314616,1,Monday,M,50-59,10:00 a 11:59,3,50km/h,Yes,Yes,No,Avenue,Private_car,Poco trafico,Yes,green,B,1
0,0.308995454,2,Tuesday,M,50-59,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.330503029,2,Tuesday,M,70+,20:00 a 21:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,1
0,0.402813881,1,Wednesday,M,60-69,18:00 a 19:59,1,50km/h,No,Yes,Yes,Street,Truck,Poco trafico,No,green,MB,1
0,0.404200621,1,Sunday,M,0-19,18:00 a 19:59,2,50km/h,Yes,Yes,No,Avenue,Truck,Poco trafico,No,green,MB,1
0,0.25,0,Sunday,M,50-59,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,B,1
363,0.331740231,1,Friday,M,50-59,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,B,1
0,0,0,Monday,M,20-29,20:00 a 21:59,2,80km/h,No,Yes,No,Highway,Private_car,Poco trafico,No,green,B,1
349,0.387744113,1,Sunday,M,30-39,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,green,MB,1
0,0.265192308,0,Sunday,M,70+,12:00 a 13:59,3,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.341087169,0,Friday,M,0-19,18:00 a 19:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.478703176,0,Thursday,M,30-39,18:00 a 19:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,1
0,0.334384093,0,Sunday,M,0-19,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,No,green,MB,1
388,0.475386557,4,Saturday,M,50-59,20:00 a 21:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,Yes,orange,MA,1
212,0.28039264,0,Saturday,M,70+,08:00 a 09:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,B,1
0,0.25,2,Thursday,M,70+,20:00 a 21:59,6,60km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,1
0,0.296348315,0,Saturday,M,0-19,18:00 a 19:59,3,50km/h,Yes,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,1
0,0,1,Saturday,M,20-29,18:00 a 19:59,5,60km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.278856826,3,Friday,M,50-59,0:00 a 01:59,3,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Poco trafico,No,green,B,1
0,0.37444002,0,Sunday,M,0-19,12:00 a 13:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,MB,1
0,0.25135257,0,Friday,M,40-49,20:00 a 21:59,2,80km/h,No,Yes,No,Highway,Private_car,Trafico moderado,No,green,B,1
438,0.339977852,1,Thursday,M,60-69,22:00 a 23:59,3,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,1
9,0.261858798,1,Monday,M,50-59,08:00 a 09:59,5,60km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,Yes,green,B,0
