id,Coordy,Coordx,riesgo
1,20.67133,-103.3549309,Poco riesgo
2,20.6966319,-103.3215357,Poco riesgo
3,20.5321298,-103.2939616,Alto riesgo
4,20.6467019,-103.3806142,Poco riesgo
5,20.6631082,-103.3784544,Sin riesgo
6,20.6591569,-103.2713246,Poco riesgo
7,20.692515,-103.3164157,Riesgo moderado
8,20.6268888,-103.3888913,Poco riesgo
9,20.7135301,-103.4563948,Riesgo moderado
10,20.6479489,-103.4584275,Riesgo moderado
12,20.708548,-103.4583206,Riesgo moderado
13,20.6931241,-103.4524107,Riesgo moderado
14,20.5337176,-103.4752174,Alto riesgo
15,20.6594091,-103.3573826,Poco riesgo
16,20.6628693,-103.290369,Riesgo moderado
17,20.6217024,-103.3719344,Poco riesgo
18,20.6435303,-103.3539881,Riesgo moderado
19,20.6699891,-103.3038164,Poco riesgo
20,20.6467496,-103.3809342,Riesgo moderado
21,20.6587118,-103.3704142,Poco riesgo
22,20.6507871,-103.4511778,Riesgo moderado
23,20.6547096,-103.3640727,Poco riesgo
24,20.583591,-103.3541928,Riesgo moderado
25,20.7067316,-103.2864152,Riesgo moderado
26,20.485273,-103.4945742,Alto riesgo
27,20.6092836,-103.3406612,Poco riesgo
28,20.6913889,-103.3435538,Poco riesgo
29,20.6178396,-103.4537491,Riesgo moderado
30,20.6359011,-103.3690286,Poco riesgo
31,20.6258225,-103.3043907,Poco riesgo
32,20.663555,-103.2519682,Poco riesgo
33,20.7142353,-103.3543392,Riesgo moderado
34,20.6317075,-103.2851321,Poco riesgo
35,20.7316189,-103.4051591,Poco riesgo
37,20.653198,-103.3258091,Poco riesgo
38,20.6683833,-103.3183616,Poco riesgo
39,20.6885232,-103.296521,Riesgo moderado
40,20.713581,-103.3066822,Riesgo moderado
41,20.5474196,-103.4709054,Riesgo moderado
42,20.5620818,-103.2810756,Alto riesgo
43,20.6404572,-103.2767944,Riesgo moderado
44,20.6010889,-103.240285,Riesgo moderado
45,20.489172,-103.2745567,Alto riesgo
46,20.722337,-103.349033,Poco riesgo
47,20.565386,-103.3001002,Alto riesgo
48,20.622753,-103.2823372,Alto riesgo
49,20.689758,-103.3616244,Poco riesgo
50,20.7025379,"-103.360278,",Poco riesgo
51,20.600637,-103.2415917,Alto riesgo
52,20.4549552,-103.4168379,Riesgo moderado
53,20.636139,-103.467263,Poco riesgo
54,20.735805,-103.3725072,Riesgo moderado
55,20.7322654,-103.3564262,Riesgo moderado
56,20.6485584,-103.3519885,Poco riesgo
57,20.7225416,-103.3385603,Poco riesgo
58,20.7318124,-103.4047787,Poco riesgo
59,20.7316464,-103.4046784,Poco riesgo
60,20.6641023,-103.2768717,Riesgo moderado
61,20.536998,-103.3004492,Alto riesgo
62,20.6801167,-103.353747,Poco riesgo
63,20.6940059,-103.3318129,Poco riesgo
65,20.4700547,-103.4407851,Poco riesgo
66,20.72075,-103.31722,Riesgo moderado
67,20.6661698,-103.3110491,Poco riesgo
68,20.517816,-103.3916502,Riesgo moderado
69,20.6244739,-103.4151702,Riesgo moderado
70,20.6541271,-103.3694496,Poco riesgo
71,20.6258759,-103.3049544,Poco riesgo
72,20.6215412,-103.39527,Riesgo moderado
73,20.6431845,-103.4423092,Riesgo moderado
74,20.6524649,-103.2348561,Riesgo moderado
75,20.577278,-103.2166791,Alto riesgo
76,20.6466723,"-103.310104,",Poco riesgo
77,20.5849772,-103.3322499,Riesgo moderado
78,20.7588489,-103.4311958,Poco riesgo
79,20.636272,-103.4723762,Poco riesgo
80,20.590223,-103.274309,Poco riesgo
81,20.6391999,-103.3169647,Poco riesgo
82,20.592777,-103.2879092,Alto riesgo
84,20.6511645,-103.4565117,Riesgo moderado
85,20.5990039,-103.4323818,Poco riesgo
86,20.6737255,-103.3709368,Poco riesgo
87,20.6447868,-103.2871127,Riesgo moderado
88,20.560344,-103.3691127,Riesgo moderado
89,20.6726477,-103.3552147,Poco riesgo
90,20.6906242,-103.3156137,Riesgo moderado
91,20.6297745,-103.3705316,Poco riesgo
92,20.6526931,-103.2368606,Poco riesgo
93,20.614649,-103.2451482,Riesgo moderado
94,20.6281287,-103.4029186,Poco riesgo
95,20.562935,-103.2955512,Alto riesgo
96,20.7998417,-103.5060724,Riesgo moderado
97,20.7380937,-103.3787218,Riesgo moderado
98,20.6735678,-103.3737734,Poco riesgo
