id,Coordx,Coordy,riesgo
1,-103.3549309,20.67133,Poco riesgo
2,-103.3215357,20.6966319,Riesgo moderado
3,-103.2939616,20.5321298,Alto riesgo
4,-103.3806142,20.6467019,Poco riesgo
5,-103.3784544,20.6631082,Poco riesgo
6,-103.2713246,20.6591569,Riesgo moderado
7,-103.3164157,20.692515,Riesgo moderado
8,-103.3888913,20.6268888,Poco riesgo
9,-103.4563948,20.7135301,Poco riesgo
10,-103.4584275,20.6479489,Riesgo moderado
12,-103.4583206,20.708548,Riesgo moderado
13,-103.4524107,20.6931241,Poco riesgo
14,-103.4752174,20.5337176,Alto riesgo
15,-103.3573826,20.6594091,Poco riesgo
16,-103.290369,20.6628693,Poco riesgo
17,-103.3719344,20.6217024,Poco riesgo
18,-103.3539881,20.6435303,Poco riesgo
19,-103.3038164,20.6699891,Poco riesgo
20,-103.3809342,20.6467496,Riesgo moderado
21,-103.3704142,20.6587118,Poco riesgo
22,-103.4511778,20.6507871,Riesgo moderado
23,-103.3640727,20.6547096,Riesgo moderado
24,-103.3541928,20.583591,Riesgo moderado
25,-103.2864152,20.7067316,Alto riesgo
26,-103.4945742,20.485273,Alto riesgo
27,-103.3406612,20.6092836,Riesgo moderado
28,-103.3435538,20.6913889,Sin riesgo
29,-103.4537491,20.6178396,Riesgo moderado
30,-103.3690286,20.6359011,Poco riesgo
31,-103.3043907,20.6258225,Poco riesgo
32,-103.2519682,20.663555,Riesgo moderado
33,-103.3543392,20.7142353,Riesgo moderado
34,-103.2851321,20.6317075,Poco riesgo
35,-103.4051591,20.7316189,Riesgo moderado
37,-103.3258091,20.653198,Poco riesgo
38,-103.3183616,20.6683833,Poco riesgo
39,-103.296521,20.6885232,Riesgo moderado
40,-103.3066822,20.713581,Riesgo moderado
41,-103.4709054,20.5474196,Poco riesgo
42,-103.2810756,20.5620818,Alto riesgo
43,-103.2767944,20.6404572,Riesgo moderado
44,-103.240285,20.6010889,Alto riesgo
45,-103.2745567,20.489172,Alto riesgo
46,-103.349033,20.722337,Poco riesgo
47,-103.3001002,20.565386,Alto riesgo
48,-103.2823372,20.622753,Alto riesgo
49,-103.3616244,20.689758,Poco riesgo
50,"-103.360278,",20.7025379,Poco riesgo
51,-103.2415917,20.600637,Alto riesgo
52,-103.4168379,20.4549552,Riesgo moderado
53,-103.467263,20.636139,Poco riesgo
54,-103.3725072,20.735805,Alto riesgo
55,-103.3564262,20.7322654,Riesgo moderado
56,-103.3519885,20.6485584,Poco riesgo
57,-103.3385603,20.7225416,Poco riesgo
58,-103.4047787,20.7318124,Riesgo moderado
59,-103.4046784,20.7316464,Riesgo moderado
60,-103.2768717,20.6641023,Riesgo moderado
61,-103.3004492,20.536998,Alto riesgo
62,-103.353747,20.6801167,Poco riesgo
63,-103.3318129,20.6940059,Poco riesgo
65,-103.4407851,20.4700547,Poco riesgo
66,-103.31722,20.72075,Alto riesgo
67,-103.3110491,20.6661698,Riesgo moderado
68,-103.3916502,20.517816,Riesgo moderado
69,-103.4151702,20.6244739,Riesgo moderado
70,-103.3694496,20.6541271,Poco riesgo
71,-103.3049544,20.6258759,Poco riesgo
72,-103.39527,20.6215412,Poco riesgo
73,-103.4423092,20.6431845,Riesgo moderado
74,-103.2348561,20.6524649,Riesgo moderado
75,-103.2166791,20.577278,Alto riesgo
76,"-103.310104,",20.6466723,Poco riesgo
77,-103.3322499,20.5849772,Alto riesgo
78,-103.4311958,20.7588489,Poco riesgo
79,-103.4723762,20.636272,Poco riesgo
80,-103.274309,20.590223,Poco riesgo
81,-103.3169647,20.6391999,Poco riesgo
82,-103.2879092,20.592777,Alto riesgo
84,-103.4565117,20.6511645,Riesgo moderado
85,-103.4323818,20.5990039,Poco riesgo
86,-103.3709368,20.6737255,Poco riesgo
87,-103.2871127,20.6447868,Riesgo moderado
88,-103.3691127,20.560344,Poco riesgo
89,-103.3552147,20.6726477,Poco riesgo
90,-103.3156137,20.6906242,Riesgo moderado
91,-103.3705316,20.6297745,Poco riesgo
92,-103.2368606,20.6526931,Poco riesgo
93,-103.2451482,20.614649,Riesgo moderado
94,-103.4029186,20.6281287,Poco riesgo
95,-103.2955512,20.562935,Alto riesgo
96,-103.5060724,20.7998417,Riesgo moderado
97,-103.3787218,20.7380937,Alto riesgo
98,-103.3737734,20.6735678,Poco riesgo
99,-103.3339741,20.6676763,Poco riesgo
100,-103.3571706,20.6568626,Riesgo moderado
101,-103.4071491,20.530454,Riesgo moderado
102,-103.3439448,20.7399079,Alto riesgo
104,"-103.311924,",20.6807865,Poco riesgo
105,-103.4537768,20.7310821,Poco riesgo
106,-103.3348022,20.6994503,Riesgo moderado
107,-103.3356087,20.6794587,Poco riesgo
108,-103.2434868,20.6267774,Poco riesgo
109,-103.2347405,20.6689961,Alto riesgo
111,"-103.303624,",20.6429463,Poco riesgo
112,-103.3005748,20.6967754,Riesgo moderado
113,-103.3259251,20.6352592,Poco riesgo
114,-103.4978657,20.483554,Alto riesgo
115,-103.2914086,20.6847856,Poco riesgo
116,-103.3341595,20.6663525,Poco riesgo
117,-103.3890657,20.7093248,Riesgo moderado
118,"-103.332438,",20.6509746,Poco riesgo
119,"-103.350133,",20.6286346,Poco riesgo
120,-103.3215787,20.7375387,Poco riesgo
121,-103.3370365,20.7255023,Alto riesgo
122,-103.35767,20.576805,Riesgo moderado
123,-103.3188846,20.614507,Riesgo moderado
124,-103.2848657,20.6446146,Poco riesgo
125,-103.3405753,20.6092875,Riesgo moderado
126,-103.3654329,20.6971178,Poco riesgo
127,-103.4370352,20.6313189,Riesgo moderado
128,-103.283664,20.592811,Alto riesgo
130,-103.2217673,20.6523825,Riesgo moderado
