id,Coordy,Coordx,riesgo,Probabilidad_Clase_0,Probabilidad_Clase_1,riesgoFormula
1,20.67133,-103.3549309,Poco riesgo,0.360090615,0.639909385,Poco riesgo
2,20.6966319,-103.3215357,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
3,20.5321298,-103.2939616,Alto riesgo,0.882600089,0.117399911,Alto riesgo
4,20.6467019,-103.3806142,Poco riesgo,0.48143415,0.51856585,Poco riesgo
5,20.6631082,-103.3784544,Poco riesgo,0.29958749,0.70041251,Poco riesgo
6,20.6591569,-103.2713246,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
7,20.692515,-103.3164157,Riesgo moderado,0.548425765,0.451574235,Riesgo moderado
8,20.6268888,-103.3888913,Poco riesgo,0.354301333,0.645698667,Poco riesgo
9,20.7135301,-103.4563948,Poco riesgo,0.427089405,0.572910595,Poco riesgo
10,20.6479489,-103.4584275,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
12,20.708548,-103.4583206,Riesgo moderado,0.563865317,0.436134683,Riesgo moderado
13,20.6931241,-103.4524107,Poco riesgo,0.473907717,0.526092283,Poco riesgo
14,20.5337176,-103.4752174,Alto riesgo,0.904268616,0.095731384,Alto riesgo
15,20.6594091,-103.3573826,Poco riesgo,0.313353095,0.686646905,Poco riesgo
16,20.6628693,-103.290369,Poco riesgo,0.497063687,0.502936313,Poco riesgo
17,20.6217024,-103.3719344,Poco riesgo,0.48143415,0.51856585,Poco riesgo
18,20.6435303,-103.3539881,Poco riesgo,0.473907717,0.526092283,Poco riesgo
19,20.6699891,-103.3038164,Poco riesgo,0.359244386,0.640755614,Poco riesgo
20,20.6467496,-103.3809342,Riesgo moderado,0.553926639,0.446073361,Riesgo moderado
21,20.6587118,-103.3704142,Poco riesgo,0.42691893,0.57308107,Poco riesgo
22,20.6507871,-103.4511778,Poco riesgo,0.493718681,0.506281319,Poco riesgo
23,20.6547096,-103.3640727,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
24,20.583591,-103.3541928,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
25,20.7067316,-103.2864152,Alto riesgo,0.817776455,0.182223545,Alto riesgo
26,20.485273,-103.4945742,Alto riesgo,0.904268616,0.095731384,Alto riesgo
27,20.6092836,-103.3406612,Riesgo moderado,0.538423262,0.461576738,Riesgo moderado
28,20.6913889,-103.3435538,Poco riesgo,0.253619228,0.746380772,Poco riesgo
29,20.6178396,-103.4537491,Riesgo moderado,0.542076823,0.457923177,Riesgo moderado
30,20.6359011,-103.3690286,Poco riesgo,0.477540119,0.522459881,Poco riesgo
