id,Coordx,Coordy,riesgo
4,-103.3806142,20.6467019,Alto riesgo
9,-103.4563948,20.7135301,Alto riesgo
15,-103.3573826,20.6594091,Alto riesgo
16,-103.290369,20.6628693,Alto riesgo
19,-103.3038164,20.6699891,Riesgo moderado
20,-103.3809342,20.6467496,Alto riesgo
21,-103.3704142,20.6587118,Alto riesgo
22,-103.4511778,20.6507871,Alto riesgo
30,-103.3690286,20.6359011,Poco riesgo
37,-103.3258091,20.653198,Riesgo moderado
42,-103.2810756,20.5620818,Alto riesgo
50,-103.360278,20.7025379,Alto riesgo
55,-103.3564262,20.7322654,Alto riesgo
105,-103.4537768,20.7310821,Alto riesgo
108,-103.2434868,20.6267774,Riesgo moderado
112,-103.3005748,20.6967754,Poco riesgo
113,-103.3259251,20.6352592,Alto riesgo
115,-103.2914086,20.6847856,Riesgo moderado
116,-103.3341595,20.6663525,Alto riesgo
121,-103.3370365,20.7255023,Alto riesgo
126,-103.3654329,20.6971178,Alto riesgo
127,-103.4370352,20.6313189,Riesgo moderado
134,-103.3938532,20.697506,Alto riesgo
137,-103.352115,20.641932,Alto riesgo
139,-103.3023406,20.6754402,Alto riesgo
141,-103.3440653,20.6171187,Poco riesgo
142,-103.5020212,20.480781,Alto riesgo
143,-103.265658,20.588703,Alto riesgo
147,-103.441173,20.758569,Alto riesgo
148,-103.2678632,20.475415,Alto riesgo
149,-103.355071,20.6965182,Poco riesgo
150,-103.4382889,20.5969362,Alto riesgo
151,-103.337167,20.605056,Alto riesgo
153,-103.387444,20.740139,Poco riesgo
155,-103.2976608,20.66650772,Sin riesgo
156,-103.3486085,20.7044818,Alto riesgo
157,-103.2612381,20.64753342,Poco riesgo
158,-103.3186646,20.68159103,Sin riesgo
161,-103.3495865,20.67280388,Sin riesgo
162,-103.38327,20.588083,Riesgo moderado
163,-103.323494,20.70370674,Sin riesgo
164,-103.4069672,20.62952423,Sin riesgo
165,-103.3330307,20.66524506,Sin riesgo
166,-103.3098602,20.69374847,Alto riesgo
169,-103.409173,20.641287,Sin riesgo
170,-103.2776489,20.65996361,Sin riesgo
171,-103.3652344,20.56864738,Sin riesgo
172,-103.4608459,20.6276989,Poco riesgo
173,-103.3068771,20.66896629,Sin riesgo
174,-103.4228973,20.67248344,Poco riesgo
177,-103.455246,20.62933159,Alto riesgo
178,-103.3045502,20.65958405,Sin riesgo
179,-103.3596115,20.70246506,Sin riesgo
180,-103.3671112,20.68489265,Sin riesgo
181,-103.2481308,20.61882591,Alto riesgo
182,-103.3335648,20.67231369,Sin riesgo
183,-103.3551712,20.63059998,Sin riesgo
185,-103.3472404,20.67379631,Sin riesgo
186,-103.3538208,20.71927261,Sin riesgo
187,-103.3455963,20.7185955,Alto riesgo
188,-103.3453754,20.7180709,Poco riesgo
189,-103.2482681,20.6793499,Sin riesgo
190,-103.43288,20.64132,Alto riesgo
192,-103.566876,20.728692,Alto riesgo
193,-103.3411927,20.72685653,Alto riesgo
194,-103.4476471,20.65880966,Sin riesgo
195,-103.3325653,20.70240402,Poco riesgo
196,-103.4502945,20.66607857,Alto riesgo
197,-103.3510361,20.65722656,Sin riesgo
